tc_id_monitoring,tc_id_official,tc_name,tc_track_part,forecast_hour,valid_time_utc,center_latitude,center_longitude,tc_intensity_category,tc_size_category,central_pressure,msw_ms,msw_kt,gustiness_ms,gustiness_kt,movement_direction,movement_speed_kmh,movement_speed_kt,probability_circle_radius_m,probability_circle_radius_nm,30kt_wind_longrad_dir,30kt_wind_longrad_length_km,30kt_wind_longrad_length_nm,30kt_wind_shortrad_dir,30kt_wind_shortrad_length_km,30kt_wind_shortrad_length_nm,50kt_wind_longrad_dir,50kt_wind_longrad_length_km,50kt_wind_longrad_length_nm,50kt_wind_shortrad_dir,50kt_wind_shortrad_length_km,50kt_wind_shortrad_length_nm,50kt_wind_longrad_fcstdir,50kt_wind_longrad_fcstlength_km,50kt_wind_longrad_fcstlength_nm,50kt_wind_shortrad_fcstdir,50kt_wind_shortrad_fcstlength_km,50kt_wind_shortrad_fcstlength_nm
TC2622,,b,Analysis,0,2026-08-21T18:00:00Z,21.0,108.2,tropical depression,,996,15,30,23,45,NNE,slowly,slowly,,,,,,,,,,,,,,,,,,,,
TC2622,,b,Forecast for 24 hours ahead,24,2026-08-22T18:00:00Z,20.8,108.8,tropical storm,,994,18,35,25,50,almost stationary,,,129640,70,,,,,,,,,,,,,,,,,,
TC2622,,b,Forecast for 48 hours ahead,48,2026-08-23T18:00:00Z,20.5,109.1,tropical storm,,994,18,35,25,50,almost stationary,,,203720,110,,,,,,,,,,,,,,,,,,
TC2622,,b,Forecast for 72 hours ahead,72,2026-08-24T18:00:00Z,20.6,109.4,tropical storm,,994,18,35,25,50,almost stationary,,,259280,140,,,,,,,,,,,,,,,,,,
TC2622,,b,Forecast for 96 hours ahead,96,2026-08-25T18:00:00Z,21.5,109.0,tropical depression,,996,0,0,0,0,almost stationary,,,333360,180,,,,,,,,,,,,,,,,,,
